,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
15,"Buenos Aires, Argentina",2014-01-16,34.3,25.6,29.1,37.2,25.6,31.1,20.7,61,0,0,0,,0,0,,15.7,12.7,1009.9,26.2,9.9,335.3,28.9,10,,2014-01-16T05:57:37,2014-01-16T20:08:35,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"87582099999,87585099999,87553099999,SAEZ,SADF,SABE,87593099999,86560099999,87576099999"
16,"Buenos Aires, Argentina",2014-01-17,33.9,25.9,30,36.8,25.9,32.6,21.2,59.8,0,0,0,,0,0,44.3,24.7,356.2,1009.5,32.2,10,345.2,29.8,10,,2014-01-17T05:58:36,2014-01-17T20:08:16,0.55,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"87582099999,87585099999,87553099999,SAEZ,SADF,SABE,87593099999,87576099999"
17,"Buenos Aires, Argentina",2014-01-18,35.4,26.9,31.2,42.3,28.3,35.5,22.4,60,0,0,0,,0,0,40.7,23.1,350.9,1008.8,17.7,10,362,31.1,10,,2014-01-18T05:59:35,2014-01-18T20:07:55,0.58,Clear,Clear conditions throughout the day.,clear-day,"87582099999,87585099999,87553099999,SAEZ,SADF,SABE,87593099999,87576099999"
18,"Buenos Aires, Argentina",2014-01-19,30.9,22,26.3,35.1,22,27,19.7,67.8,1.69,100,8.33,rain,0,0,55.4,34.7,125.7,1010.8,69.7,10,271.1,23.3,8,,2014-01-19T06:00:35,2014-01-19T20:07:31,0.62,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"87582099999,87585099999,87553099999,SAEZ,SADF,SABE,87593099999,86560099999,87576099999"
19,"Buenos Aires, Argentina",2014-01-20,32.1,25.7,28.4,39.1,25.7,31.4,22.5,70.3,0,0,0,,0,0,68.4,46.9,47.7,1006.1,57.5,10,257.2,22.4,9,,2014-01-20T06:01:35,2014-01-20T20:07:06,0.65,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"87582099999,87585099999,87553099999,SAEZ,SADF,SABE,87593099999,87576099999"
20,"Buenos Aires, Argentina",2014-01-21,28.8,21.8,26.3,32.4,21.8,27.6,21.9,77.5,29.975,100,8.33,rain,0,0,69.8,44,331.7,1002.3,56.3,9.2,314,27.3,10,,2014-01-21T06:02:35,2014-01-21T20:06:40,0.68,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"87582099999,87585099999,87553099999,SAEZ,SADF,SABE,87593099999,87576099999"
21,"Buenos Aires, Argentina",2014-01-22,30.5,22.9,26.7,36.7,22.9,29.4,23.6,83.4,0.3,100,4.17,rain,0,0,,21.9,26.6,1004.4,66.2,9.9,266.2,23.1,8,,2014-01-22T06:03:36,2014-01-22T20:06:11,0.72,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"87582099999,87585099999,87553099999,SAEZ,SADF,SABE,87593099999,86560099999,87576099999"
22,"Buenos Aires, Argentina",2014-01-23,33.5,24,30.4,45.3,24,37.6,25.5,75.5,0.016,100,4.17,rain,0,0,66.6,34.1,1.6,1000.1,70.1,9.7,188,16.3,7,,2014-01-23T06:04:37,2014-01-23T20:05:41,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"87582099999,87585099999,87553099999,SAEZ,SADF,SABE,87593099999,86560099999,87576099999"
23,"Buenos Aires, Argentina",2014-01-24,23.9,17.7,21.1,23.9,17.7,21.1,14.3,68,57.138,100,12.5,rain,0,0,79.7,46.1,178,1010.3,90.1,8.2,181.8,15.8,8,,2014-01-24T06:05:38,2014-01-24T20:05:09,0.75,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"87582099999,87585099999,87553099999,SAEZ,SADF,SABE,87593099999,87576099999"
24,"Buenos Aires, Argentina",2014-01-25,22,12.9,18.1,22,12.9,18.1,8.2,53,0,0,0,,0,0,46.4,31.2,131.7,1021.3,23.1,10,379.5,32.7,10,,2014-01-25T06:06:39,2014-01-25T20:04:35,0.82,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"87582099999,87585099999,87553099999,SAEZ,SADF,SABE,87593099999,87576099999"
