,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
17,"Lagos, Nigeria",2014-01-18,32.2,24.6,27.6,39.3,24.6,31.5,25.1,86.6,1,100,41.67,rain,,,31.7,25.9,239.3,1011.6,75.4,6.6,165.1,14.3,6,,2014-01-18T07:02:59,2014-01-18T18:50:45,0.58,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"65210099999,remote,65201099999"
18,"Lagos, Nigeria",2014-01-19,35.4,24.4,28,44,24.4,31.9,24.8,83.5,1.1,100,45.83,rain,,,29.5,25.9,254.3,1011.6,80.9,7.9,118.9,10.2,4,,2014-01-19T07:03:11,2014-01-19T18:51:10,0.61,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"65210099999,remote,65201099999"
19,"Lagos, Nigeria",2014-01-20,32.6,25.6,27.6,39.6,25.6,30.7,24.3,83.2,0.6,100,25,rain,,,33.5,25.9,245.1,1011.8,65.1,9,138.3,11.8,5,,2014-01-20T07:03:23,2014-01-20T18:51:35,0.64,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"65210099999,DNMM,remote,65201099999"
20,"Lagos, Nigeria",2014-01-21,32.8,24,27.2,40.6,24,30.2,24.4,85.5,0.6,100,8.33,rain,,,33.5,29.5,250.9,1011.4,59.2,7.7,202.5,17.6,8,,2014-01-21T07:03:34,2014-01-21T18:51:58,0.68,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"65210099999,DNMM,remote,65201099999"
21,"Lagos, Nigeria",2014-01-22,30.5,25,26.9,37.2,25,29.3,24.6,87.9,0.4,100,4.17,rain,,,29.5,25.9,255.8,1010.7,50.3,8.7,118,10.3,4,,2014-01-22T07:03:44,2014-01-22T18:52:22,0.71,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"65210099999,DNMM,65201099999"
22,"Lagos, Nigeria",2014-01-23,32.1,24,27.2,39.8,24,30.1,24.7,86.5,0,0,0,,,,33.5,29.5,260.4,1010.1,47.9,8.7,143.3,12.4,5,,2014-01-23T07:03:53,2014-01-23T18:52:44,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65210099999,DNMM,65201099999"
23,"Lagos, Nigeria",2014-01-24,31.3,24,27.1,37.7,24,29.5,24.5,86.5,1,100,8.33,rain,,,31.7,27.7,256.8,1009.9,50.1,8.4,69.3,6,2,,2014-01-24T07:04:01,2014-01-24T18:53:06,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"65210099999,DNMM,remote,65201099999"
24,"Lagos, Nigeria",2014-01-25,33.2,21,26.6,39.3,21,28.9,23.4,83.4,46,100,8.33,rain,,,44.6,40.7,230.6,1010.1,51.9,8.1,111.7,9.4,4,,2014-01-25T07:04:08,2014-01-25T18:53:27,0.81,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"DNMM,remote,65201099999"
25,"Lagos, Nigeria",2014-01-26,32,23,26.9,39.2,23,29.4,23.9,84.5,0,0,0,,,,22.3,24.1,258.3,1010.8,52.3,8.7,76.8,6.6,3,,2014-01-26T07:04:14,2014-01-26T18:53:48,0.85,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"DNMM,remote,65201099999"
26,"Lagos, Nigeria",2014-01-27,34,23,27.7,43.5,23,31.4,24.2,82.3,0,0,0,,,,31.7,27.7,257.9,1010,43.1,8.2,125.3,10.9,5,,2014-01-27T07:04:19,2014-01-27T18:54:08,0.88,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65210099999,DNMM,65201099999"
