,temp,dew,humidity,precip,precipprob,precipcover,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,moonphase,clusters_description,year,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,preds,preds_gs,sktime_naive,preds_autoarima,preds_sarimax,0_1_0_0_1_0_12,0_1_0_0_1_1_12,0_1_0_1_1_0_12,0_1_0_1_1_1_12,0_1_1_0_1_0_12,0_1_1_0_1_1_12,0_1_1_1_1_0_12,0_1_1_1_1_1_12,1_1_0_0_1_0_12,1_1_0_0_1_1_12,1_1_0_1_1_0_12,1_1_0_1_1_1_12,1_1_1_0_1_0_12,1_1_1_0_1_1_12,1_1_1_1_1_0_12,1_1_1_1_1_1_12
2023-05-22,15.1,6.9,64.3,0.0,0.0,0.0,0.0,0.0,26.1,17.5,61.3,1027.2,55.6,27.2,99.0,8.7,4.0,10.0,0.0,1.0,2023,False,False,False,False,True,False,False,False,False,False,False,False,14.492051,13.432552,14.401869158878505,13.984043907298906,15.701231483664742,14.262504744128819,15.084606457479822,16.26257320608056,15.411401986839337,14.014499445194815,15.492858246660035,16.140949773514876,15.804579180159635,14.121792707421264,15.461940959390631,16.230648067601578,15.781625612165953,13.779396907080809,15.469442452540534,15.974319935929088,15.701231483664742
2023-05-23,14.0,6.1,60.6,0.0,0.0,0.0,0.0,0.0,36.4,21.3,40.6,1025.3,40.0,27.5,192.2,16.3,9.0,10.0,0.03,1.0,2023,False,False,False,False,True,False,False,False,False,False,False,False,17.870735,14.786562,14.403738317757009,13.895125948570621,15.4394879484571,12.969670844864595,14.858930783146207,15.02729711691427,15.335363636837428,12.774196918089729,15.358141027176316,14.913157137125381,15.52582016544693,12.860825658441172,15.273864544356911,14.979102836856327,15.505229229471297,12.586651633093425,15.237847859916656,14.79764155590965,15.4394879484571
2023-05-24,15.8,6.7,61.2,0.0,0.0,0.0,0.0,0.0,34.7,20.0,30.7,1021.7,43.9,35.0,156.4,13.6,7.0,10.0,0.06,1.0,2023,False,False,False,False,True,False,False,False,False,False,False,False,16.441523,15.185232,14.405607476635515,13.759056981679082,16.27431408585835,11.726274178599851,16.14016278127383,14.934097358618601,16.483675925515854,11.545065910246194,16.18304899206123,14.830746107018058,16.374833507514268,11.622223421272793,16.077460411015636,14.884636533097364,16.2774569565845,11.392641008063947,16.057595239904913,14.677898265534168,16.27431408585835
2023-05-25,15.0,6.7,57.9,0.0,0.0,0.0,0.0,0.0,41.5,23.9,12.1,1021.2,62.5,37.2,80.0,7.0,3.0,10.0,0.09,1.0,2023,False,False,False,False,True,False,False,False,False,False,False,False,14.017682,13.373943,14.40747663551402,13.725512606208607,16.052128644914774,11.88909171542764,15.489128518431244,15.749994335623342,15.788281106095383,11.703066000489343,15.760153665716643,15.57649684324133,16.164045332654496,11.785514366805728,15.716808630451851,15.684871931705857,16.048533013519773,11.57869397849936,15.647898175349837,15.454352831849974,16.052128644914774
2023-05-26,14.2,6.9,63.5,0.0,0.0,0.0,0.0,0.0,26.1,17.3,36.0,1026.5,27.0,29.2,147.4,12.5,7.0,10.0,0.12,0.0,2023,False,False,False,False,True,False,False,False,False,False,False,False,13.3807955,14.683416,14.409345794392523,13.63271774369128,14.740707682271022,13.688462800539128,14.538316578593367,15.236335083085578,14.687502767421392,13.499956888925226,14.718159797987028,15.108153311382921,14.83860375095901,13.57893572969624,14.615003819359117,15.198145387177647,14.808915071469528,13.408886140092363,14.583777657528117,14.971375752080348,14.740707682271022
2023-05-27,14.6,7.8,60.7,0.0,0.0,0.0,0.0,0.0,25.1,14.3,10.1,1025.7,14.2,24.1,201.8,17.4,8.0,10.0,0.15,2.0,2023,False,False,False,False,True,False,False,False,False,False,False,False,18.364727,15.702637,14.411214953271028,13.629957667509451,14.525641908818216,12.589327000321646,14.20856186761739,14.079072107881075,14.562753842925304,12.406941583089065,14.60692924707837,13.97768605062447,14.571503123894217,12.493152089100477,14.425381869037665,14.046363736084459,14.521161730193853,12.29705419945094,14.41293511846743,13.826655610446323,14.525641908818216
2023-05-28,16.1,7.9,63.0,0.0,0.0,0.0,0.0,0.0,32.8,17.4,58.2,1029.2,56.7,22.0,132.0,11.2,6.0,10.0,0.19,1.0,2023,False,False,False,False,True,False,False,False,False,False,False,False,13.875509,16.00651,14.413084112149534,13.56188697875992,15.733101846213685,12.600021871669014,14.727258132417774,15.437250933715404,15.487484251698334,12.398128172400902,15.554660916008288,15.283669340959023,15.857701363591332,12.490716717798932,15.44619950111155,15.38665978246354,15.819500492016232,12.270837121919612,15.468670496284176,15.16054974439976,15.733101846213685
2023-05-29,13.5,6.3,60.5,0.0,0.0,0.0,0.0,0.0,34.9,21.4,67.5,1031.2,26.1,20.2,215.7,18.6,9.0,10.0,0.22,0.0,2023,False,False,False,False,True,False,False,False,False,False,False,False,16.55626,15.097265,14.414953271028038,13.576042878293448,15.883157982560078,13.409063306378812,14.650873211696307,16.770920619470417,15.234714376045304,13.210907100004988,15.63632527739901,16.603268313134322,15.990081103034754,13.293429472967546,15.559485627221875,16.707793680765462,15.968381780166965,13.0771826105738,15.539731346427288,16.486403866991168,15.883157982560078
2023-05-30,13.2,7.7,65.3,0.0,0.0,0.0,0.0,0.0,25.1,14.9,65.6,1026.6,16.6,20.3,209.8,18.2,9.0,10.0,0.25,2.0,2023,False,False,False,False,True,False,False,False,False,False,False,False,13.40738,14.980094,14.416822429906542,13.522258066324017,14.903224977744685,13.526514387900534,14.609070422826335,15.94328906030205,14.957438252673455,13.387406371140969,14.918133316623425,15.83777038413973,14.985712177844107,13.44818055703945,14.766503543531144,15.90287146420087,15.000329427799443,13.267577489874384,14.80834026444063,15.73952515138808,14.903224977744685
2023-05-31,13.9,6.2,55.6,0.0,0.0,0.0,0.0,0.0,38.5,24.1,59.4,1023.3,7.9,27.2,213.1,18.4,8.0,10.0,0.28,2.0,2023,False,False,False,False,True,False,False,False,False,False,False,False,17.022013,15.561817,14.418691588785046,13.545542717643352,15.407129581439222,13.224982577350602,14.409019400573015,17.05181369161801,14.777393837663112,13.11001548464992,15.141899070229556,16.90719939821065,15.455150159774348,13.168195064226893,15.07002148578249,16.987664474421763,15.332100131654443,12.976328868488054,15.02232357203684,16.770263026450266,15.407129581439222
2023-06-01,13.7,5.2,58.5,0.0,0.0,0.0,0.0,0.0,41.0,26.8,56.5,1027.5,22.0,28.0,182.5,15.8,8.0,10.0,0.32,1.0,2023,False,False,False,False,False,True,False,False,False,False,False,False,13.096956,15.036855,14.420560747663552,13.500166044326946,17.86156953601312,16.964291374857567,17.190038902288507,18.81437131947314,17.515580371367832,16.72716640659928,17.790014104502916,18.64230276343369,17.990411584836693,16.829968139998527,17.760216868708085,18.7411245341209,17.964063059207547,16.50816420067713,17.66900993760646,18.504199662758765,17.86156953601312
